userId,target_movieId,model,rank,recall@10,ndcg@10,candidate_count,title
1,2492,popularity,86,0.0,0.0,101,20 Dates (1998)
1,2492,latent_svd,100,0.0,0.0,101,20 Dates (1998)
2,80489,popularity,7,1.0,0.3333333333333333,101,"Town, The (2010)"
2,80489,latent_svd,2,1.0,0.6309297535714575,101,"Town, The (2010)"
3,3024,popularity,95,0.0,0.0,101,Piranha (1978)
3,3024,latent_svd,19,0.0,0.0,101,Piranha (1978)
4,4246,popularity,11,0.0,0.0,101,Bridget Jones's Diary (2001)
4,4246,latent_svd,98,0.0,0.0,101,Bridget Jones's Diary (2001)
5,247,popularity,2,1.0,0.6309297535714575,101,Heavenly Creatures (1994)
5,247,latent_svd,92,0.0,0.0,101,Heavenly Creatures (1994)
6,780,popularity,80,0.0,0.0,101,Independence Day (a.k.a. ID4) (1996)
6,780,latent_svd,1,1.0,1.0,101,Independence Day (a.k.a. ID4) (1996)
7,49272,popularity,3,1.0,0.5,101,Casino Royale (2006)
7,49272,latent_svd,100,0.0,0.0,101,Casino Royale (2006)
8,186,popularity,100,0.0,0.0,101,Nine Months (1995)
8,186,latent_svd,100,0.0,0.0,101,Nine Months (1995)
9,2012,popularity,82,0.0,0.0,101,Back to the Future Part III (1990)
9,2012,latent_svd,6,1.0,0.3562071871080222,101,Back to the Future Part III (1990)
10,7149,popularity,32,0.0,0.0,101,Something's Gotta Give (2003)
10,7149,latent_svd,74,0.0,0.0,101,Something's Gotta Give (2003)
11,1923,popularity,11,0.0,0.0,101,There's Something About Mary (1998)
11,1923,latent_svd,1,1.0,1.0,101,There's Something About Mary (1998)
12,39,popularity,83,0.0,0.0,101,Clueless (1995)
12,39,latent_svd,3,1.0,0.5,101,Clueless (1995)
13,3863,popularity,96,0.0,0.0,101,"Cell, The (2000)"
13,3863,latent_svd,99,0.0,0.0,101,"Cell, The (2000)"
14,383,popularity,92,0.0,0.0,101,Wyatt Earp (1994)
14,383,latent_svd,98,0.0,0.0,101,Wyatt Earp (1994)
15,71057,popularity,25,0.0,0.0,101,9 (2009)
15,71057,latent_svd,18,0.0,0.0,101,9 (2009)
16,1222,popularity,1,1.0,1.0,101,Full Metal Jacket (1987)
16,1222,latent_svd,2,1.0,0.6309297535714575,101,Full Metal Jacket (1987)
17,1228,popularity,2,1.0,0.6309297535714575,101,Raging Bull (1980)
17,1228,latent_svd,3,1.0,0.5,101,Raging Bull (1980)
18,6787,popularity,2,1.0,0.6309297535714575,101,All the President's Men (1976)
18,6787,latent_svd,7,1.0,0.3333333333333333,101,All the President's Men (1976)
19,904,popularity,1,1.0,1.0,101,Rear Window (1954)
19,904,latent_svd,12,0.0,0.0,101,Rear Window (1954)
20,2135,popularity,18,0.0,0.0,101,Doctor Dolittle (1967)
20,2135,latent_svd,72,0.0,0.0,101,Doctor Dolittle (1967)
21,2717,popularity,96,0.0,0.0,101,Ghostbusters II (1989)
21,2717,latent_svd,27,0.0,0.0,101,Ghostbusters II (1989)
22,4903,popularity,91,0.0,0.0,101,In the Bedroom (2001)
22,4903,latent_svd,4,1.0,0.43067655807339306,101,In the Bedroom (2001)
23,2726,popularity,5,1.0,0.38685280723454163,101,"Killing, The (1956)"
23,2726,latent_svd,84,0.0,0.0,101,"Killing, The (1956)"
24,132660,popularity,42,0.0,0.0,101,Man Up (2015)
24,132660,latent_svd,59,0.0,0.0,101,Man Up (2015)
25,187593,popularity,13,0.0,0.0,101,Deadpool 2 (2018)
25,187593,latent_svd,5,1.0,0.38685280723454163,101,Deadpool 2 (2018)
26,454,popularity,33,0.0,0.0,101,"Firm, The (1993)"
26,454,latent_svd,97,0.0,0.0,101,"Firm, The (1993)"
27,2628,popularity,100,0.0,0.0,101,Star Wars: Episode I - The Phantom Menace (1999)
27,2628,latent_svd,2,1.0,0.6309297535714575,101,Star Wars: Episode I - The Phantom Menace (1999)
28,68791,popularity,84,0.0,0.0,101,Terminator Salvation (2009)
28,68791,latent_svd,94,0.0,0.0,101,Terminator Salvation (2009)
29,4223,popularity,54,0.0,0.0,101,Enemy at the Gates (2001)
29,4223,latent_svd,1,1.0,1.0,101,Enemy at the Gates (2001)
30,115617,popularity,4,1.0,0.43067655807339306,101,Big Hero 6 (2014)
30,115617,latent_svd,2,1.0,0.6309297535714575,101,Big Hero 6 (2014)
31,605,popularity,91,0.0,0.0,101,One Fine Day (1996)
31,605,latent_svd,28,0.0,0.0,101,One Fine Day (1996)
32,224,popularity,20,0.0,0.0,101,Don Juan DeMarco (1995)
32,224,latent_svd,6,1.0,0.3562071871080222,101,Don Juan DeMarco (1995)
