job_id,title,semantic_score,skill_score,final_score,matched_skills,missing_skills
ML1,Junior Machine Learning Engineer,0.32656081629170497,0.4166666666666667,0.35179045439669426,"['fastapi', 'mlops', 'python', 'pytorch', 'scikit-learn']",['docker']
ML2,Computer Vision Engineer,0.2659239525162177,0.2727272727272727,0.2678288821753131,"['computer vision', 'python', 'pytorch']",[]
DS1,Graduate Data Scientist,0.24373592559051485,0.3076923076923077,0.26164371257901686,"['pandas', 'python', 'scikit-learn', 'sql']","['experimentation', 'statistics']"
AI1,Applied AI Engineer,0.2216529403994343,0.36363636363636365,0.26140829890577455,"['fastapi', 'mlops', 'nlp', 'python']",[]
DE1,Junior Data Engineer,0.23680136815244096,0.25,0.2404969850697575,"['pyspark', 'python', 'sql']",['cloud']
DA1,Data Analyst,0.11404757153406628,0.25,0.15211425150452773,"['pandas', 'python', 'sql']",['statistics']
TF1,Deep Learning Engineer,0.13724581128228394,0.18181818181818182,0.14972607503233537,"['python', 'tensorflow']",[]
DS2,Junior Decision Scientist,0.0745084368622446,0.15384615384615385,0.0967229976177392,"['python', 'sql']","['experimentation', 'statistics']"
AI2,NLP Engineer,0.025152220248050434,0.18181818181818182,0.06901868948768723,"['nlp', 'python']",[]
BA1,Business Intelligence Analyst,0.03360922175790519,0.09090909090909091,0.0496531851202372,['sql'],[]
